codigo,carrera,correoInstitucional,nombres,apellidos,correoPersonal,telefono
136217,Mecánica,cpavon@usfq.edu.ec,Carmen,Pavón,carmenp@hotmail.com,0983627345
137584,Electrónica,lu.guerra@usfq.edu.ec,Luis,Guerra,luisg@gmail.com,0983627346
132748,Alimentos,davidlopez4@usfq.edu.ec,David,Lopez ,davidl@gmail.com,0983627347
127483,Industrial,gchacon@usfq.edu.ec,Guillermo,Chacon,guillermoc@hotmail.com,0983627348
118475,Sistemas,baragon@usfq.edu.ec,Benjamin,Aragón,benjamin@gmail.com,0983627349
138098,Agronomía,ibarbero@usfq.edu.ec,Irina,Barbero,irinab@hotmail.com,0983627350
123452,Física,cgodoy@usfq.edu.ec,Consuelo,Godoy,consuelog@gmail.com,0983627351
131243,Ambiental,ffernandez@usfq.edu.ec,Fausto,Fernandez,faustof@hotmail.com,0983627352
138086,Civil,isalgado@usfq.edu.ec,Inés,Salgado,iness8@gmail.com,0983627353
132024,Química,pcampos@usfq.edu.ec,Pedro,Campos,pedro_c@gmail.com,0983627354
126043,Matemática,apineda@usfq.edu.ec,Albert,Pineda,albert98@gmail.com,0983627355
126686,Agronomía,aconde@usfq.edu.ec,Arturo,Conde,arturoc@hotmail.com,0983627356
130943,Electrónica,emedina@usfq.edu.ec,Estrella,Medina,estrella3@gmail.com,0983627357
131423,Industrial,vhoyos@usfq.edu.ec,Valentina,Hoyos,valen-tina@gmail.com,0983627358
125098,Física,smanzano@usfq.edu.ec,Sebastián,Manzano,sebastianm@hotmail.com,0983627359
136218,Física,ddelgado@usfq.edu.ec,David,Delgado,daviddelagdo@gmail.com,0983627360
136219,Matemática,csalgado@usfq.edu.ec,Cristina ,Salgado,cristinasalgado@gmail.com,0983627123
136220,Mecánica,eiturralde@usfq.edu.ec,Edison,Iturralde,edisoniturralde@gmail.com,0983627456
136221,Química,jlima@usfq.edu.ec,Juan,Lima,jjlima@gmail.com,0983627789
136222,Industrial,cbarboso@usfq.edu.ec,Carla ,Barboso,cbarboso@gmail.com,0983627351
136223,Industrial,nwitt@usfq.edu.ec,Nicole,Witt,nwitt@gmail.com,0983627352
136224,Sistemas,iitriango@usfq.edu.ec,Irina,Itriango,irinaii1990@gmail.com,0983627353
136225,Civil,vzurita@usfq.edu.ec,Victor,Zurita,victor123zuri@hotmail.com,0983627354
136226,Mecánica,jsalgado@usfq.edu.ec,John,Salgado,johnsalga@gmail.com,0983627355
136227,Física,pyepez@usfq.edu.ec,Pedro,Yépez,pyepez@gmail.com,0983627356
136228,Matemática,aporras@usfq.edu.ec,Alejandro,Porras,alejoporras@hotmail.com,0983627357
136229,Electrónica,jdfabara@usfq.edu.ec,Juan David,Fabara,jdavidfabara7@gmail.com,0983627358
136230,Química,lmontufar@usfq.edu.ec,Luis,Montufar,lmontufar@hotmail.com,0983627341
136231,Alimentos,dmendoza@usfq.edu.ec,Daniel,Mendoza,dmenzoa@gmail.com,0983627342
136232,Industrial,cmendez@usfq.edu.ec,Cesar,Mendez,cesarmendez14@gmail.com,0983627343
