codigo,carrera,correoInstitucional,nombres,apellidos,correoPersonal,telefono
134589,Mecánica,clopez@usfq.edu.ec,Carlos,Lopez,carlosl@hotmail.com,0998364758
132742,Alimentos,msuarez@usfq.edu.ec,María,Suarez,marias@gmail.com,0937263549
130895,Agronomía,fmarino@usfq.edu.ec,Fernando,Mariño,fernandom9@hotmail.com,0876162340
129048,Industrial,ialmendariz@usfq.edu.ec,Ignacia,Almendariz,ignaciaA@gmail.com,0815061131
127201,Sistemas,mcabezas@usfq.edu.ec,Mauricio,Cabezas,mauricio_c@hotmail.com,0953959922
125354,Electrónica,pbaez@usfq.edu.ec,Pamela,Baez,pamelab@gmail.com,0992858713
124724,Civil,amorales@usfq.edu.ec,Andrea,Morales,andream@gmail.com,0897215342
124094,Física,pportilla@usfq.edu.ec,Pedro,Portilla,pedrop@hotmail.com,0953959922
123464,Matemática,cpazmino@usfq.edu.ec,Carolina,Pazmiño,carolinap@gmail.com,0992858713
122834,Química,strujillo@usfq.edu.ec,Sebastian,Trujillo,sebastian_t@gmail.com,0897215342
122204,Civil,jdiaz@usfq.edu.ec,Juan,Diaz,juand09@hotmail.com,0953959922
130298,Electrónica,fcazco@usfq.edu.ec,Fernanda,Cazco,fernandac@gmail.com,0992858713
138392,Ambiental,gcalderon@usfq.edu.ec,Guillermo,Calderón,guillermo-c@hotmail.com,0897215342
146486,Industrial,epozo@usfq.edu.ec,Esteban,Pozo,estebanp@gmail.com,0953959922
154580,Electrónica,esamaniego@usfq.edu.ec,Estefania,Samaniego,estefanias@hotmail.com,0992858713
133020,Industrial,vlopez@usfq.edu.ec,Victor,Lopez,victorlopez@gmail.com,0998364712
123294,Industrial,mscoello@usfq.edu.ec,María Susana,Coello,mariascoello@gmail.com,0998364713
112534,Mecánica,fmartinez@usfq.edu.ec,Fabian,Martinez,fmartinez@gmail.com,0998364714
291819,Civil,lespinoza@usfq.edu.ec,Luis,Espinoza,lespinoza5@hotmail.com,0998364715
133034,Agronomía,svillagomez@usfq.edu.ec,Santiago,Villagomez,svillagomez@gmail.com,0998364716
154020,Matemática,gpazmiño@usfq.edu.ec,Gabriela,Pazmiño,gpazmiño@gmail.com,0998364717
117890,Electrónica,ccordero@usfq.edu.ec,Cristina,Cordero,ccordero3@gmail.com,0998364718
131415,Física,arueda@usfq.edu.ec,Alexis,Rueda,alexis24rueda@gmail.com,0998364719
130203,Electrónica,jgutierrez@usfq.edu.ec,Jefferson,Guitierrez,jeffersongutierrez@gmail.com,0937263123
130507,Química,jherbas@usfq.edu.ec,Jonathan ,Herbas,jonaherbas@gmail.com,0937263456
130912,Física,dlaufer@usfq.edu.ec,Danilo,Laufer,danilolaufer@gmail.com,0937263789
150902,Industrial,mprodriguez@usfq.edu.ec,María Paz,Rodriguez,mariapaz3@gmail.com,0937263513
167123,Sistemas,aricaurte@usfq.edu.ec,Antonio,Ricaurte,antonioricaurte@gmail.com,0999252976
160505,Química,falacon@usfq.edu.ec,Fausto,Alarcon,falarcon@gmail.com,0997504704
170403,Civil,dcalles@usfq.edu.ec,Daniel,Calles,danielcalles@gmail.com,0993990288
136219,Matemática,csalgado@usfq.edu.ec,Cristina ,Salgado,cristinasalgado@gmail.com,0983627123
136220,Mecánica,eiturralde@usfq.edu.ec,Edison,Iturralde,edisoniturralde@gmail.com,0983627456
136221,Química,jlima@usfq.edu.ec,Juan,Lima,jjlima@gmail.com,0983627789
136222,Industrial,cbarboso@usfq.edu.ec,Carla ,Barboso,cbarboso@gmail.com,0983627351
136223,Industrial,nwitt@usfq.edu.ec,Nicole,Witt,nwitt@gmail.com,0983627352
136224,Sistemas,iitriango@usfq.edu.ec,Irina,Itriango,irinaii1990@gmail.com,0983627353
136225,Civil,vzurita@usfq.edu.ec,Victor,Zurita,victor123zuri@hotmail.com,0983627354
136226,Mecánica,jsalgado@usfq.edu.ec,John,Salgado,johnsalga@gmail.com,0983627355
136227,Física,pyepez@usfq.edu.ec,Pedro,Yépez,pyepez@gmail.com,0983627356
136228,Matemática,aporras@usfq.edu.ec,Alejandro,Porras,alejoporras@hotmail.com,0983627357
136229,Electrónica,jdfabara@usfq.edu.ec,Juan David,Fabara,jdavidfabara7@gmail.com,0983627358
136230,Química,lmontufar@usfq.edu.ec,Luis,Montufar,lmontufar@hotmail.com,0983627341
136231,Alimentos,dmendoza@usfq.edu.ec,Daniel,Mendoza,dmenzoa@gmail.com,0983627342
136232,Industrial,cmendez@usfq.edu.ec,Cesar,Mendez,cesarmendez14@gmail.com,0983627343
