codigo,carrera,correoInstitucional,nombres,apellidos,correoPersonal,telefono,gpa,periodoDeAdmision,tipoDeAdmision,status,codigoProfesor,correoProfesor,nombresProfesor,apellidosProfesor
132345,Industrial,kverdezoto@estud.usfq.edu.ec,Kevin,Verdezoto,kevin_v@hotmail.com,0984037457,2.85,Segundo Semestre 2017/2018,Primera,Activo,129048,ialmendariz@usfq.edu.ec,Ignacia,Almendariz
124567,Física,dlopez@estud.usfq.edu.ec,Daniela,López,danielal@gmail.com,0927364859,3.5,Primer Semestre 2018/2019,Primera,Activo,124094,pportilla@usfq.edu.ec,Pedro,Portilla
116789,Mecánica,marevalo@estud.usfq.edu.ec,Marco,Arévalo,marcoa@hotmail.com,0981253646,4,Segundo Semestre 2018/2019,Segunda,Activo,134589,clopez@usfq.edu.ec,Carlos,Lopez
109011,Matemática,jmerino@estud.usfq.edu.ec,Juan,Merino,juan_m@gmail.com,0889263746,3.2,Segundo Semestre 2018/2019,Primera,Activo,136228,aporras@usfq.edu.ec,Alejandro,Porras
121233,Sistemas,achavez@estud.usfq.edu.ec,Alejandra,Chávez,ale_cha@hotmail.com,0987654321,2.9,Segundo Semestre 2018/2019,Segunda,Inactivo,127201,mcabezas@usfq.edu.ec,Mauricio,Cabezas
133455,Alimentos,myepez@estud.usfq.edu.ec,Maria,Yépez,mariay6@gmail.com,0912347584,2.3,Segundo Semestre 2017/2018,Tercera,Activo,132742,msuarez@usfq.edu.ec,María,Suarez
125677,Química,aparedes@estud.usfq.edu.ec,Antony,Paredes,antonyp@hotmail.com,0992341872,1.9,Primer Semestre 2018/2019,Primera,Inactivo,122834,strujillo@usfq.edu.ec,Sebastian,Trujillo
137899,Civil,ahidalgo@estud.usfq.edu.ec,Andrés,Hidalgo,andresh09@gmail.com,0987654321,2.4,Primer Semestre 2019/2020,Segunda,Activo,122204,jdiaz@usfq.edu.ec,Juan,Diaz
139876,Electrónica,mdiaz@estud.usfq.edu.ec,Martina,Diaz,martinad@hotmail.com,0912347584,1.5,Primer Semestre 2019/2020,Tercera,Activo,130298,fcazco@usfq.edu.ec,Fernanda,Cazco
128683,Agronomía,csantos@estud.usfq.edu.ec,Camila,Santos,camila-s98@gmail.com,0992341872,2.8,Segundo Semestre 2019/2020,Primera,Activo,130895,fmarino@usfq.edu.ec,Fernando,Mariño
125782,Civil,rsalgado@estud.usfq.edu.ec,Romina,Salgado,rominas@hotmail.com,0987654321,3.2,Segundo Semestre 2019/2020,Segunda,Inactivo,122204,jdiaz@usfq.edu.ec,Juan,Diaz
112882,Electrónica,asaenz@estud.usfq.edu.ec,Alexander,Saenz,alexanders@gmail.com,0987654321,2.9,Segundo Semestre 2017/2018,Tercera,Activo,130298,fcazco@usfq.edu.ec,Fernanda,Cazco
129981,Sistemas,jbrito@estud.usfq.edu.ec,José,Brito,jose_b@hotmail.com,0992347584,1.6,Primer Semestre 2018/2019,Tercera,Inactivo,127201,mcabezas@usfq.edu.ec,Mauricio,Cabezas
127081,Física,fnavarro@estud.usfq.edu.ec,Fernando,Navarro,fernandon@gmail.com,0987654321,2.6,Primer Semestre 2018/2019,Segunda,Activo,124094,pportilla@usfq.edu.ec,Pedro,Portilla
134180,Matemática,cmejia@estud.usfq.edu.ec,Carolina,Mejía,carom@hotmail.com,0982347584,3.7,Primer Semestre 2016/2017,Primera,Activo,136228,aporras@usfq.edu.ec,Alejandro,Porras
167759,Sistemas,jmena@estud.usfq.edu.ec,Juan,Mena,jmena234@hotmail.com,0969329699,3.5,Segundo Semestre 2016/2017,Primera,Activo,167123,aricaurte@usfq.edu.ec,Antonio,Ricaurte
179794,Industrial,nlopez@estud.usfq.edu.ec,Nicole,Lopez,nlopez@gmail.com,0948797776,3.7,Primer Semestre 2017/2018,Primera,Activo,146486,epozo@usfq.edu.ec,Esteban,Pozo
186321,Matemática,nverdezoto@estud.usfq.edu.ec,Nathaly,Verdezoto,nverdezoto2010@gmail.com,0963873652,2.9,Primer Semestre 2017/2018,Primera,Activo,154020,gpazmiño@usfq.edu.ec,Gabriela,Pazmiño
190992,Industrial,ayanez@estud.usfq.edu.ec,Austin,Yánez,austinyanez23@gmail.com,0995424409,2.8,Primer Semestre 2017/2018,Segunda,Activo,133020,vlopez@usfq.edu.ec,Victor,Lopez
198402,Industrial,saguirre@estud.usfq.edu.ec,Sofía,Aguirre,saguirrec34@gmail.com,0995947049,2.7,Segundo Semestre 2017/2018,Segunda,Activo,123294,mscoello@usfq.edu.ec,María Susana,Coello
162443,Electrónica,sramirez@estud.usfq.edu.ec,Santiago,Ramirez,santiramirez234@gmail.com,0965548319,3.1,Segundo Semestre 2017/2018,Primera,Activo,154580,esamaniego@usfq.edu.ec,Estefania,Samaniego
193295,Electrónica,schavez@estud.usfq.edu.ec,Sonia,Chavez,schavez@gmail.com,0910813014,3.3,Primer Semestre 2016/2017,Tercera,Activo,154580,esamaniego@usfq.edu.ec,Estefania,Samaniego
177157,Civil,ejaramillo@estud.usfq.edu.ec,Esteban,Jaramillo,estebanjojaramillo@gmail.com,0935182979,3.7,Segundo Semestre 2016/2017,Primera,Activo,291819,lespinoza@usfq.edu.ec,Luis,Espinoza
158939,Civil,jlopez@estud.usfq.edu.ec,Julio,Lopez,juliolopez23@gmail.com,0952182266,3.9,Segundo Semestre 2017/2018,Primera,Inactivo,291819,lespinoza@usfq.edu.ec,Luis,Espinoza
141789,Industrial,jsalazar@estud.usfq.edu.ec,Juan,Salazar,juansalazar94@gmail.com,0917274881,3,Segundo Semestre 2017/2018,Segunda,Inactivo,123294,mscoello@usfq.edu.ec,María Susana,Coello
182131,Alimentos,ngangotena@estud.usfq.edu.ec,Nicole,Gangotena,nicolegangotena98@gmail.com,0981178624,3,Primer Semestre 2016/2017,Primera,Inactivo,132742,msuarez@usfq.edu.ec,María,Suarez
140221,Alimentos,ctipan@estud.usfq.edu.ec,Carlos Andres,Tipan,carlosandrestipan@gmail.com,0913187782,3.8,Segundo Semestre 2016/2017,Primera,Activo,132742,msuarez@usfq.edu.ec,María,Suarez
196302,Química,mguerra@estud.usfq.edu.ec,MIcaela,Guerra,micaleaceleguerra@gmail.com,0924621804,3.1,Primer Semestre 2017/2018,Segunda,Activo,130507,jherbas@usfq.edu.ec,Jonathan ,Herbas
162303,Química,ggallegos@estud.usfq.edu.ec,Gabriel,Gallegos,gabrielgallegos92@gmail.com,0976798372,2.7,Primer Semestre 2016/2017,Tercera,Inactivo,130507,jherbas@usfq.edu.ec,Jonathan ,Herbas
134724,Química,pmoreno@estud.usfq.edu.ec,Pedro,Moreno,pedromoreno212@gmail.com,0923304010,2.5,Primer Semestre 2017/2018,Primera,Inactivo,130507,jherbas@usfq.edu.ec,Jonathan ,Herbas
